Name                                                 Stmts   Miss Branch BrPart  Cover   Missing
------------------------------------------------------------------------------------------------
.grok-stack/adaptive_grok/__init__.py                    1      0      0      0   100%
.grok-stack/adaptive_grok/policy.py                     51     23     20      2    48%   25-50, 61, 76, 96
.grok-stack/adaptive_grok/protected_write.py           190     43     68     15    75%   59, 86, 92, 97, 100-101, 104, 107, 125, 136, 138, 143, 147, 149, 151, 196, 203-220, 223, 237-243, 250-251, 254-255
.grok-stack/adaptive_grok/python_test_runner.py        238     49     76     12    79%   36, 49, 59, 101-102, 105-110, 116, 122, 130, 148, 152, 157-159, 218, 231, 244, 261, 274-285, 289-304, 308
.grok-stack/adaptive_grok/queue_provenance.py          702    110    364     45    83%   114, 145, 152-154, 157-161, 174, 180, 200, 261, 264, 267, 270, 288, 291, 294, 297, 300-303, 317, 319, 338, 411, 434, 452-457, 475, 483-488, 496, 507, 514-516, 518, 530-532, 543, 593, 604, 617-618, 620->635, 622-623, 627-628, 630, 632-633, 653, 686, 690-691, 694-695, 703-704, 798, 804, 823, 825, 853-864, 948, 968, 995-997, 1005-1006, 1008-1016, 1018-1026, 1028-1034
.grok-stack/adaptive_grok/receipts.py                  418     67    172     41    81%   59-60, 66, 90, 102, 109-110, 117-118, 122, 125, 132, 152, 157, 189, 192, 197, 204, 243, 248, 279, 314, 321, 323, 339, 354, 359, 363, 371-375, 379, 385-386, 391, 395, 397, 400, 402, 416, 432-433, 485, 489, 516, 522, 564, 572, 575, 590, 600, 612, 618, 663, 681-683, 706-708, 723, 730-731, 733, 742
.grok-stack/adaptive_grok/repo.py                      100     15     50      9    84%   33->32, 63-64, 79-80, 83-84, 87-88, 91-92, 105->107, 108, 115-116, 120-121
.grok-stack/adaptive_grok/router.py                    263     20    128     13    91%   113, 123->125, 126->128, 137, 140-141, 143->142, 216-218, 240, 288-290, 316, 342, 404->406, 423, 479-484
.grok-stack/adaptive_grok/shell_targets.py             269     75    144     32    69%   21, 46, 48, 65->69, 70, 72, 77-79, 88, 90, 92, 104-106, 109-110, 112-113, 123, 130, 132, 137-138, 142-149, 159-161, 167, 173-176, 188, 195, 213-214, 220, 224, 226-229, 248-251, 283-288, 292-302, 311, 323, 337, 339-340, 347, 357
.grok-stack/adaptive_grok/spec.py                      634     94    372     73    82%   67, 78, 85, 87, 95->97, 100, 112-113, 121, 124, 136, 142, 145, 147, 151, 157, 168->217, 171, 177, 180, 184-189, 195, 198-203, 212, 222, 230, 232, 234, 238, 254, 275-276, 284-285, 294, 299, 301, 315, 319, 322, 348, 351->355, 363->362, 367, 374, 376, 388, 390, 401, 469, 478-479, 481, 496, 511-512, 514, 535, 552-554, 555->550, 557->550, 591-592, 594, 597-598, 628, 637, 643, 646, 648, 666->664, 672-673, 693, 696, 702-703, 717, 719, 723, 735-743, 752, 755->757, 757->759, 766, 788-790, 794, 809
.grok-stack/adaptive_grok/state.py                     221     61     58     20    68%   41, 46-50, 75-81, 89-90, 114, 143-157, 177, 202, 204, 206, 208, 212, 215, 219, 223, 246, 262, 265-266, 269, 285-286, 288, 291, 293, 295, 305, 323, 327-334, 338-342
.grok-stack/adaptive_grok/toolchain.py                 117     17     38      8    81%   39, 52-56, 161->160, 178, 184, 186-187, 189-190, 195-196, 200-202
.grok-stack/adaptive_grok/util.py                      167     25     60      6    83%   22-40, 96-99, 108, 132, 139, 141, 192, 197-198, 235
.grok-stack/adaptive_grok/verification.py              540     67    242     37    85%   65, 95, 225-246, 285, 298-299, 305, 325-330, 401, 409, 430, 441, 471->510, 483, 600, 675, 677, 684, 689-691, 717, 719, 720->702, 783-786, 800-812, 856->858, 870-875, 880, 890, 896, 899-900, 903, 906, 912-913, 936-939, 948, 1037, 1039, 1043, 1045, 1050, 1053, 1057, 1108, 1110
.grok-stack/adaptive_grok/workflow_artifacts.py       1027    146    444    102    82%   188, 192, 196, 200, 202, 212-213, 229-230, 234, 240, 280-281, 287, 305, 308, 318-319, 350, 384, 398, 413, 415, 421-422, 451, 454, 460, 462, 470, 502, 525, 528, 544, 559, 569, 577, 587, 693, 695->701, 697, 699->695, 703-704, 708, 713, 755, 758, 763-772, 801, 806, 821, 823, 855, 876->874, 893->892, 922, 936, 941, 948, 951, 954, 974, 985, 1009, 1011, 1013, 1016, 1018, 1034, 1038, 1040, 1043, 1048, 1053, 1060, 1064, 1077, 1102, 1121, 1124-1125, 1133, 1138, 1147, 1160, 1176, 1201, 1207, 1219, 1228, 1239, 1245, 1287->1260, 1346, 1387, 1388->1390, 1391, 1405, 1434, 1439-1440, 1447-1453, 1459-1460, 1465-1470, 1496, 1514, 1518-1521, 1524, 1530, 1532, 1543, 1547, 1555, 1581, 1584->1590, 1608, 1617, 1620-1623, 1684-1685, 1704-1705, 1721-1722, 1725-1726, 1737, 1758
scripts/generate_manifest.py                            11     11      2      0     0%   1-16
scripts/grok_approve.py                                 30     30      6      0     0%   1-82
scripts/grok_architecture.py                            90     35     26      7    59%   57, 61-79, 83-97, 106-123, 127-130, 132-145, 155->157, 159-169, 173
scripts/grok_artifacts.py                               76      6     20      4    90%   55, 67, 84-98, 158
scripts/grok_change.py                                  27     27      4      0     0%   1-33
scripts/grok_demo.py                                    45     45      6      0     0%   2-57
scripts/grok_deploy.py                                  21     21      6      0     0%   1-27
scripts/grok_doctor.py                                  25     25     10      0     0%   1-33
scripts/grok_governance.py                             104    104     28      0     0%   2-177
scripts/grok_history.py                                 20     20      2      0     0%   2-28
scripts/grok_landing_publish.py                         57     57     26      0     0%   3-84
scripts/grok_protected_write.py                         23     23      2      0     0%   2-37
scripts/grok_review.py                                  19     19      2      0     0%   1-24
scripts/grok_route.py                                   31     31      8      0     0%   1-37
scripts/grok_spec.py                                    85      8     24      4    89%   35, 47-48, 102->104, 111, 116-118, 122
scripts/grok_status.py                                  12     12      0      0     0%   1-17
scripts/grok_verify.py                                  24     24      6      0     0%   1-30
scripts/install_into.py                                822    146    262     56    80%   205-208, 216, 219-220, 250, 260, 263-264, 277-279, 301-302, 307-310, 335-338, 344, 351-353, 367, 371-372, 377, 383-384, 403, 415, 417, 422, 438, 451, 475, 479, 490, 501, 507, 516, 519->525, 527, 533, 549-555, 578, 590-591, 615, 626, 634-635, 638, 642, 650, 685, 701, 704, 708-709, 714-715, 726-727, 749, 763-764, 836, 844-845, 871-873, 881, 891, 895, 904, 924, 929-931, 945-946, 960-961, 968, 977, 986, 990-995, 999, 1047-1048, 1052, 1060, 1067, 1075, 1097, 1133, 1146, 1149, 1151, 1166, 1196, 1220, 1224, 1233->1232, 1237-1238, 1365-1427, 1431
scripts/package_stack.py                               676    143    172     49    77%   36-37, 43-44, 50-51, 107-108, 111, 113, 124-125, 127, 129, 132->exit, 143-146, 158, 162-163, 168-169, 197, 218, 225, 226->177, 228-232, 234->236, 244-245, 249-251, 253-254, 261-263, 273-275, 282-283, 301-302, 304, 330-333, 339, 341-344, 346, 354-355, 368-369, 398-399, 414-415, 424-425, 447, 450-453, 470, 483-484, 500-501, 510-511, 518-519, 565-566, 577, 585, 588-589, 591, 623, 625->627, 628, 643, 645, 657, 665-666, 670, 688-689, 693, 701-702, 704, 710, 714, 716-717, 719->724, 722-723, 725->727, 728, 744, 746, 766-767, 771, 785, 834, 841, 853-854, 865-868, 872-874, 881-882, 884, 896-897, 899, 909, 940-941, 943, 964-965, 975->977, 1077, 1080, 1108
scripts/verify_manifest.py                              12     12      4      0     0%   1-16
------------------------------------------------------------------------------------------------
TOTAL                                                14250   2570   6254   1084    80%
